Review Text,Review,Recommends
"Friendly staff, good food and homely environment 💜💜💜",,True
Well...The Food was Good___Intrerior design is nice... Environment was soo quite Fakafaka😜 Background music was too good... I gives you 9/10😊,,True
"The man who is foodie like me for him arabian master is a nice place. Environment and food quality is too good. Specially their staffs’ behaviour are so nice. Good environment, quality food and and suitable price with these arabian master is awesome in a word.",5.0,
ordered pizza and they were unable to serve then ordered set menu and then they took more than one hour to serve that setmenu.. and food quatity was so poor. please develop these quAlities.customers will surely come to enjoy. but my and my friends experience is so pathetic.as I proposed them to go there so it was my concern.so pathetic. 😑,,False
"This place is too much comfortable & food is delicious.. Every Item Is testy & pizza or set menu is Best... & most important Thing is Their behavior is friendly..It is very good place..environment is good enough.. behavior of all the staff is good and prices are reasonable.. Over all I liked their service system, Their behavior, Their place Everything..",4.0,
#5star great and very welcoming atmosphere.. pizza was greatest best...,,True
"I check it out like a second home of mine...feel frequent and relaxed....well manner, frankly attitude and of course fresh food have been delivered.. go ahead with a lot of warm wishes and undoubtedly with good food ..",3.0,
Arabian Masters interior decoration is unique.Its food is tasty & a little bit spicy..Their staffs are very friendly..😊,,True
"you guys are awesome & I just love your ""offer pizza"" #tasty #Reasonableprice",5.0,
Well behave Food was testy,,True
"Went there after referred by a friend. Tried their ""Cheese cream pasta"" and it was totally worth it. They have a variety of set meals and pizzas. NB: To all those who already owe a treat to their friends, trust me this is the best option you have!",5.0,
Arabian's food so yummy 😊😊😊and my niece also like to eat Arabian's food🍟🍟😋😋,,True
"I went there for a family dinner . Had the set menu with BBQ chicken and naan, and believe me when I tell you I was utterly disgusted to my core as I've never had BBQ chicken or rather any food in any restaurant that bad. The chicken was bland as hell, tasted like a boiled piece of rubber and almost smelled bad . I don't know if they were having a bad day or something, but the most painful thing was it took them more than 1:30 hours to serve that 'Horror in a plate' .My parents had other set menu items which also included BBQ chicken that tasted almost as bad as mine. Though the staff behavior was good it doesn't make up for the bad food and the long wait. I don't know if my experience was an accident on their part or not but it sure was horrific .",1.0,
akankar khabare man onnoto. valo testi o mojader. are service better. amader sobaike mogdho kore dilo,,True
Everything is great..Perfect for all types of event. Only the negative issue is bad smell in ground floor and not much clean.,3.0,
"Last two times we went their with some best buddy....I think its really a good place for different type of party's and hangouts with cutie and lovely friends with delicious foods...Pizza is the best in this restaurant...And,their servable is too good...!! (Little bit problem their decoration system) But,above all its good..�",4.0,
They served tasty and good quality food �,5.0,
It is really a good place. Just awesome. Their behaviour is also good.Best hospitality. Food is also best.Every food really testy and reasonable price.This place is best for couples friends and family. Their interior design is looking so much beautiful..... Iloved everything,5.0,
It is very good place..Foods are really tasty.. environment is good enough.. we can see the view of lalbag kella from here..behavior of all the staff is good and prices are reasonable..,5.0,
most comfortable place ever for meh... specially their behavr is so frndlyy�,5.0,
Today I was parcel 4 crispy chicken fried. I reached my house & some little bit while I am started eat and it is very bad smell & couldn't not possible to eat......another many times same case of other item....sometimes it is really to bad,1.0,
"Combination of a great place to hang out with friends ,mouth watering food specially the pizza. �",4.0,
So nice place had a great time loved it��� So yummy pizza and pasta i like it so much��� Pizza price is so reasonable............,5.0,
All the best Arabian Master��� I liked it.just carry on�����,5.0,
Food was Assum Burger too good Arabian master will be the Master of all shop in old Town inshAllah,5.0,
visit there frequently. almost like regular customer �. food quality is good and environment is also good. tested their pizza and set menu. totally trustworthy.... �,5.0,
environment is better than any other restaurant in lalbagh. service is goood. bcz they give unlimited change evry time. you can try...,5.0,
Nice and friendly environment.. Good food.. Set menus are best in my opinion. Keep it up.,5.0,
The worst food I ever experienced.. Soup was like steamed water ... And set menu rice chicken are taste less chicken contained heavy food colour.. Which can cause cancer..,1.0,
very bad service... just tym & tk waste. behaviour very bad.. decoration very bad.... should close it or improve quality,1.0,
Went there today for the first time unexpectedly. But the food was so yumm i didn't expected that and their service was way to fast than the others � i liked it :),5.0,
The food of Arabian Master is good and testy. You should try. Go there enjoy their testy testy food. I like it��� Even Foods cost is reasonable....,4.0,
"their food quality and service is very good � i just love their food �� specially their cream pasta (10/10) �, chawmin (10/10) �",5.0,
Everyone enjoyed lots of fun and chat with friends and birthday parties. Thanks to all of the Arabian master.,5.0,
"We tested the BBQ pizza 4 season, cheese Supreme Pizza teste r too gud very yummy.... Well service... Happy us",4.0,
atmosphere is really good....food is average.....service is lil slow but they behave well....song selection is also good....,3.0,
Pizza was nice i like it. My friends also like it.,5.0,
Today I am going to there celebrating my frnd birth day totally amazing�� Food are really good so gyus pls going there and enjoy your day.....,5.0,
need to improve the standard of food. The quality is not up to the mark compared to the money taken,3.0,
Best place for family hangout. And food quality + quantity - 10/10 Thanks for everything Arabian Master.,5.0,
"So yummy Pizza with reasonable price,also with discount & various offers.... Loved it �",5.0,
Great food. Specially the BBQ Chicken. Everyone should visit and taste.,5.0,
Food & their service is good. Food quality could be better.,4.0,
Bbq pizza is Love ❤️ I visited many times there environment is also good,5.0,
Worst possible service!! They are super rude and didn't give food on time for iftar.,1.0,
"test is good, service is also fast. decoration should be upgrade at all.",4.0,
I like the food but their service is not good ............,4.0,
Simply the pizza was....cheeseeeeee.....wanna taste it again for sure...,5.0,
Great place... There behaviour is too good... Keep going...,5.0,
nice place to hangout...service was good......... :),5.0,
"Great food, Specially the BBQ (Lollipop) Chicken, Everyone should visit and taste.",5.0,
cream of cheese pasta 2/10 fusilli pasta 6/10 Beef Arabian pasta 2/10,1.0,
Amazing food and great hospitality .Really impressed �,5.0,
awesome.............................................,5.0,
"yyyaaammee food, good survice. thanx 2 woner of Arabian Master�����",5.0,
Foods r just awesome !! If u don't try it then you gonna miss it..,5.0,
My 1st home delivery frm dm nyc n fast... n de pizza was mouthwatering yummm....,5.0,
Awesome lunch..... And special thanks Tarek bhai..�,4.0,
food quality was decent,3.0,
"Service Was Good. Restaurant Is So Nice, Near By Lal Khella. Waiter are Well Behaved. But Food Isn't So Good.",2.0,
Offer price B.B.Q pizza =500tk 2ta pasta =260+260=520tk(1ta free) atto faltu Khabar ami & amr frnds ra life a khai nai.1020tk purai panity gase�� test:0/10 service :2/10...,1.0,
Fantastic food !,5.0,
nothing was good.,1.0,
Waste of money...,1.0,
Valo,5.0,
kono rules nai... khabar o tasty na �� khub e faltu.,2.0,
Kisu bolar nai 100/100 Khowar test onek vlo Love it....,5.0,
Jedzonko dobre,4.0,
It's food quality is very good and so delicious...,5.0,
